Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
IeJHl8Ed,MEXICO 1,CLAUSURA ,2025-01-29,00:00,Club Leon,Guadalajara Chivas,3.5,2.05,3.25,1.44,2.63,3.25,1.33,10.0,1.06,2.8,3.25,2.6,1.07,9.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.8,1.95,1.5,1.33,1.4,9.0,8.0,12.0,26.0,8.5,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,301.0,1,1,2,1,"[15, 67]",[43],1.33,0.70
js3y9x0B,MEXICO 1,CLAUSURA ,2025-01-29,00:00,Tigres UANL,Club Tijuana,1.91,2.6,6.0,1.25,3.75,2.25,1.57,5.5,1.14,1.45,5.0,6.0,1.02,19.0,1.14,5.5,1.5,2.5,2.25,1.57,3.75,1.25,1.7,2.05,1.13,1.17,2.63,19.0,19.0,34.0,67.0,9.0,9.5,17.0,41.0,8.5,8.5,17.0,41.0,11.0,11.0,21.0,41.0,151.0,1,0,4,0,"[2, 61, 84, 88]",[],3.60,0.53
dtV8jUqp,MEXICO 1,CLAUSURA ,2025-01-29,00:05,Necaxa,Cruz Azul,4.0,2.1,2.88,1.44,2.63,3.25,1.33,9.0,1.07,3.5,3.2,2.2,1.04,10.0,1.27,3.4,2.05,1.75,3.5,1.25,7.0,1.07,1.8,1.95,1.67,1.36,1.29,9.0,7.5,10.0,21.0,10.0,6.0,9.0,19.0,17.0,12.0,13.0,29.0,41.0,29.0,34.0,51.0,251.0,1,1,1,3,[18],"[38, 72, 90]",1.72,2.05
SpXgWiVi,ARGENTINA 1,APERTURA ,2025-01-29,00:30,Ind. Rivadavia,Barracas Central,2.63,1.83,6.0,1.67,2.1,4.33,1.2,15.0,1.03,1.85,3.1,5.0,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.5,1.5,1.17,1.36,1.91,5.5,9.0,23.0,51.0,4.75,6.5,19.0,51.0,7.0,10.0,23.0,67.0,15.0,21.0,41.0,101.0,101.0,0,0,0,0,[],[],0.56,0.42
WGGLt0kR,ARGENTINA 1,APERTURA ,2025-01-29,00:30,Velez Sarsfield,Platense,2.63,1.83,6.5,1.73,2.0,4.5,1.18,17.0,1.03,1.85,3.1,5.25,1.14,5.5,1.67,2.1,3.1,1.36,7.0,1.1,17.0,1.03,2.63,1.44,1.17,1.36,1.91,5.0,8.5,23.0,67.0,4.5,6.5,21.0,51.0,6.5,10.0,29.0,67.0,15.0,21.0,51.0,126.0,101.0,0,0,0,1,[],[90],0.77,1.33
vcCx6Xqm,COLOMBIA 1,APERTURA ,2025-01-29,01:00,Fortaleza,Envigado,2.25,2.1,6.0,1.44,2.63,3.25,1.33,9.0,1.07,1.65,3.5,5.75,1.08,8.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.38,1.53,1.14,1.29,2.2,7.0,11.0,26.0,67.0,5.0,7.0,19.0,51.0,6.5,9.5,23.0,51.0,12.0,17.0,41.0,81.0,101.0,0,0,0,0,[],[],0.67,0.20
0GpwbVWH,AUSTRALIA 1,ROUND 14,2025-01-29,05:00,Western United,Central Coast Mariners,2.37,2.3,4.5,1.33,3.25,2.63,1.44,6.5,1.11,1.72,3.9,4.33,1.03,13.0,1.19,4.33,1.73,2.1,2.7,1.41,5.0,1.13,1.7,2.05,1.17,1.22,2.0,13.0,13.0,23.0,41.0,8.5,7.5,13.0,29.0,9.0,8.5,15.0,34.0,15.0,13.0,23.0,41.0,151.0,1,2,2,2,"[33, 74]","[39, 42]",1.10,1.22
jNAe4j4E,SAUDI ARABIA 2,ROUND 19,2025-01-29,09:50,Al Jandal,Neom SC,6.0,2.15,2.05,1.45,2.55,2.7,1.41,0.0,0.0,6.0,3.75,1.52,0.0,0.0,1.33,3.0,2.02,1.71,3.5,1.26,0.0,0.0,2.07,1.6,2.45,1.22,1.12,8.5,5.6,6.3,10.25,13.0,7.5,8.5,13.5,35.0,20.0,22.0,35.0,150.0,80.0,90.0,120.0,900.0,0,0,0,1,[],[76],0,0
zFS8tmC7,SAUDI ARABIA 2,ROUND 19,2025-01-29,09:50,Al Najma,Al Zulfi,2.3,2.12,4.7,1.45,2.55,2.52,1.4,0.0,0.0,1.72,3.45,4.5,0.0,0.0,1.32,3.1,1.99,1.73,3.4,1.27,0.0,0.0,1.85,1.75,1.18,1.26,2.05,9.0,11.5,25.0,75.0,6.2,6.7,14.5,45.0,7.6,8.25,16.5,50.0,13.5,14.5,30.0,90.0,700.0,1,0,1,1,[9],[90],0,0
WQ3s3u7F,ITALY 4,GROUP A,2025-01-29,10:30,Albenga,Asti,3.35,2.05,2.92,0.0,0.0,2.35,1.42,0.0,0.0,2.8,3.05,2.37,0.0,0.0,0.0,0.0,1.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.31,1.35,11.0,8.25,11.5,22.0,9.25,5.4,7.6,14.5,14.0,8.5,9.0,17.5,29.0,18.0,19.5,30.0,150.0,0,1,1,2,[50],"[25, 89]",0,0
