Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
bgHgFinm,MEXICO 1,APERTURA,2025-08-24,00:05,Cruz Azul,Toluca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.25,1.63,17.0,15.0,19.0,34.0,11.0,7.5,12.0,21.0,13.0,9.0,11.0,23.0,21.0,15.0,21.0,34.0,101.0
UDeEOcnn,AUSTRIA 2,ROUND 4,2025-08-24,05:30,SK Rapid II,Austria Vienna (Am),2.52,2.27,3.65,1.31,3.2,2.3,1.55,4.75,1.15,2.02,3.65,3.25,1.03,9.0,1.18,4.3,1.55,2.3,2.3,1.55,3.75,1.23,1.5,2.42,1.35,1.26,1.78,9.0,13.5,20.0,45.0,10.75,7.4,11.25,24.0,12.5,8.5,11.5,25.0,20.0,14.0,18.5,37.0,200.0
tbSKt56m,JAPAN 2,ROUND 27,2025-08-24,06:00,V-Varen Nagasaki,Renofa Yamaguchi,2.05,2.38,5.5,1.33,3.25,2.5,1.5,6.5,1.11,1.55,4.1,5.5,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.83,1.83,1.14,1.22,2.38,13.0,15.0,29.0,51.0,7.5,8.0,17.0,41.0,7.5,8.5,17.0,41.0,11.0,13.0,23.0,51.0,251.0
06Jzk1XP,SOUTH KOREA 1,ROUND 27,2025-08-24,07:00,Pohang,Jeonbuk,3.75,2.05,3.0,1.44,2.63,3.25,1.33,9.0,1.07,3.1,3.1,2.35,1.07,9.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,1.57,1.36,1.36,8.5,7.5,11.0,21.0,9.0,6.0,9.5,21.0,15.0,12.0,15.0,34.0,34.0,26.0,41.0,51.0,301.0
zDadRcuJ,SOUTH KOREA 1,ROUND 27,2025-08-24,07:00,Seoul,Ulsan HD,2.88,2.2,3.6,1.36,3.0,2.63,1.44,7.0,1.1,2.25,3.5,3.0,1.04,13.0,1.25,3.75,1.83,1.98,3.0,1.36,6.0,1.13,1.67,2.1,1.36,1.29,1.62,11.0,10.0,15.0,34.0,8.5,6.5,11.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,26.0,41.0,201.0
4j4vQdT0,SOUTH KOREA 2,ROUND 26,2025-08-24,07:00,Asan,Busan,3.2,2.1,3.4,1.4,2.75,3.0,1.36,8.0,1.08,2.45,3.25,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.8,1.91,1.4,1.3,1.5,9.5,8.5,13.0,26.0,8.0,6.5,10.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,29.0,51.0,251.0
ryGVRIbl,SOUTH KOREA 2,ROUND 26,2025-08-24,07:00,Cheongju,Incheon,6.5,2.2,2.1,1.4,2.75,3.0,1.36,9.0,1.07,6.25,3.7,1.5,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,2.2,1.62,2.38,1.25,1.11,9.0,6.0,6.5,11.0,13.0,7.5,8.5,15.0,29.0,19.0,19.0,29.0,67.0,51.0,51.0,67.0,1250.0
j72nOzbD,SOUTH KOREA 2,ROUND 26,2025-08-24,07:00,Hwaseong,Suwon Bluewings,5.0,2.25,2.3,1.36,3.0,2.75,1.4,7.0,1.1,4.33,3.6,1.7,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.83,1.83,2.0,1.25,1.18,11.0,7.0,8.0,13.0,13.0,7.0,8.5,15.0,23.0,15.0,17.0,26.0,51.0,41.0,41.0,51.0,251.0
dpRL4x9M,PORTUGAL 2,ROUND 3,2025-08-24,07:00,Oliveirense,Sporting CP B,3.5,2.2,3.0,1.4,2.75,2.75,1.4,8.0,1.08,2.75,3.4,2.35,1.05,11.0,1.3,3.4,1.98,1.83,3.4,1.3,7.0,1.1,1.73,2.0,1.57,1.3,1.4,10.0,8.0,12.0,23.0,9.0,6.5,9.5,19.0,15.0,11.0,15.0,29.0,29.0,23.0,29.0,51.0,251.0
trnqYwYp,PORTUGAL 2,ROUND 3,2025-08-24,07:00,FC Porto B,SC Farense,3.75,2.2,2.88,1.4,2.75,2.75,1.4,8.0,1.08,3.0,3.4,2.15,1.06,10.0,1.3,3.4,2.0,1.8,3.5,1.29,7.0,1.1,1.8,1.91,1.67,1.3,1.36,10.0,7.5,10.0,21.0,9.5,6.5,9.0,19.0,15.0,11.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
WlA6quem,SOUTH KOREA 1,ROUND 27,2025-08-24,07:00,Anyang,Daejeon,3.25,2.1,3.25,1.4,2.75,3.0,1.36,8.0,1.08,2.63,3.2,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.8,1.91,1.44,1.36,1.44,9.5,8.5,13.0,26.0,8.5,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,51.0,251.0
UgLTCnWN,JAPAN 1,ROUND 27,2025-08-24,07:00,FC Tokyo,Kyoto,3.1,2.2,3.2,1.36,3.0,2.63,1.44,7.0,1.1,2.55,3.4,2.63,1.04,12.0,1.25,3.75,1.83,1.98,3.0,1.36,6.0,1.13,1.67,2.1,1.44,1.3,1.5,12.0,10.0,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
0Kr4FS7l,JAPAN 2,ROUND 27,2025-08-24,07:00,Vegalta Sendai,Chiba,3.4,2.1,3.4,1.44,2.63,3.25,1.33,9.0,1.07,2.63,3.2,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,1.44,1.36,1.44,8.5,8.0,13.0,26.0,8.0,6.0,10.0,23.0,13.0,10.0,15.0,34.0,26.0,23.0,34.0,51.0,301.0
4Cct4bEc,NETHERLANDS 1,ROUND 3,2025-08-24,07:15,Heerenveen,Twente,3.25,2.38,2.88,1.29,3.5,2.38,1.53,5.5,1.14,2.75,3.75,2.3,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.53,2.38,1.57,1.25,1.4,15.0,11.0,13.0,23.0,12.0,7.5,9.5,17.0,17.0,10.0,12.0,21.0,29.0,21.0,23.0,41.0,126.0
KCPuyDQk,NETHERLANDS 2,ROUND 3,2025-08-24,07:15,Venlo,Roda,3.1,2.38,3.0,1.29,3.5,2.38,1.53,5.5,1.14,2.6,3.6,2.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.5,2.5,1.5,1.29,1.5,15.0,12.0,15.0,26.0,12.0,7.0,10.0,19.0,15.0,10.0,11.0,23.0,26.0,19.0,23.0,34.0,101.0
Ot296OFF,SWEDEN 2,ROUND 20,2025-08-24,08:00,Varberg,Ostersund,2.4,2.25,4.5,1.36,3.0,2.63,1.44,7.0,1.1,1.8,3.6,3.9,1.04,13.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.8,1.95,1.25,1.29,1.95,11.0,12.0,21.0,41.0,7.5,7.0,13.0,34.0,9.0,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
d2UpPcnL,CHINA 1,ROUND 22,2025-08-24,08:00,Shanghai Port,Tianjin Jinmen Tiger,1.73,2.88,7.0,1.2,4.33,2.03,1.78,4.0,1.22,1.33,5.75,8.0,1.01,23.0,1.11,6.5,1.4,2.88,1.91,1.8,3.25,1.33,1.67,2.1,1.08,1.14,3.25,23.0,26.0,41.0,81.0,11.0,11.0,21.0,51.0,8.5,9.0,17.0,41.0,9.5,10.0,21.0,41.0,151.0
t8RWFg97,CHINA 1,ROUND 22,2025-08-24,08:00,Meizhou Hakka,Zhejiang Professional,3.4,2.5,2.6,1.25,3.75,2.1,1.67,4.5,1.18,3.1,3.9,2.1,1.02,21.0,1.14,5.5,1.48,2.6,2.1,1.67,3.75,1.25,1.44,2.63,1.7,1.25,1.36,21.0,12.0,13.0,21.0,15.0,8.0,9.0,15.0,21.0,12.0,11.0,19.0,34.0,21.0,23.0,29.0,81.0
dG9Jwc1E,CHINA 1,ROUND 22,2025-08-24,08:00,Changchun Yatai,Shenzhen Xinpengcheng,3.0,2.2,3.4,1.36,3.0,2.63,1.44,7.0,1.1,2.38,3.25,3.1,1.05,11.0,1.25,3.75,1.85,1.95,3.0,1.36,6.0,1.13,1.67,2.1,1.36,1.33,1.53,11.0,11.0,15.0,29.0,9.0,6.0,11.0,23.0,12.0,9.5,12.0,29.0,23.0,19.0,26.0,41.0,151.0
OrynkMXa,SCOTLAND 1,ROUND 3,2025-08-24,08:00,St. Mirren,Rangers,4.33,2.4,2.3,1.29,3.5,2.25,1.57,5.5,1.14,4.0,4.1,1.75,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.62,2.2,2.0,1.22,1.22,17.0,9.5,10.0,15.0,15.0,8.0,8.5,13.0,23.0,13.0,13.0,21.0,41.0,29.0,29.0,41.0,151.0
IP2OZNYQ,BELGIUM 1,ROUND 5,2025-08-24,08:30,Antwerp,KV Mechelen,2.6,2.25,4.0,1.33,3.25,2.63,1.44,7.0,1.1,2.0,3.5,3.6,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.67,2.1,1.29,1.29,1.8,12.0,12.0,19.0,41.0,8.5,6.5,12.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
2yFXkX23,ESTONIA 1,ROUND 25,2025-08-24,08:30,Kuressaare,Flora,6.7,2.52,1.7,1.18,3.6,2.07,1.55,3.9,1.15,7.8,4.85,1.29,1.01,16.0,1.12,4.4,1.6,2.07,2.1,1.57,3.5,1.22,1.85,1.87,3.4,1.14,1.07,15.5,6.8,5.7,6.7,18.0,8.0,6.7,7.9,40.0,17.5,14.0,16.5,120.0,50.0,45.0,50.0,250.0
lElbWEgl,CHINA 1,ROUND 22,2025-08-24,08:35,Henan Songshan Longmen,Dalian Yingbo,2.2,2.4,4.75,1.3,3.4,2.38,1.53,6.0,1.13,1.7,4.1,4.5,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.67,2.1,1.18,1.22,2.1,15.0,15.0,26.0,51.0,8.5,8.0,15.0,34.0,9.0,8.5,15.0,34.0,13.0,13.0,21.0,41.0,151.0
