Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
vobph4uP,AUSTRALIA 1,ROUND 6,2025-11-29,01:00,Wellington Phoenix,Adelaide United,3.6,2.38,2.63,1.29,3.5,2.38,1.53,5.5,1.14,3.2,3.7,2.05,1.03,15.0,1.17,5.0,1.62,2.3,2.38,1.57,4.33,1.22,1.53,2.38,1.7,1.29,1.36,15.0,11.0,12.0,21.0,13.0,7.0,9.0,15.0,19.0,12.0,11.0,21.0,34.0,23.0,26.0,34.0,126.0
2eFYEpgA,JAPAN 2,ROUND 38,2025-11-29,02:00,Chiba,Imabari,2.2,2.3,5.5,1.33,3.25,2.63,1.44,6.5,1.11,1.57,3.7,5.25,1.05,11.0,1.25,3.75,1.8,2.0,3.0,1.36,5.5,1.14,1.8,1.91,1.17,1.29,2.25,11.0,15.0,29.0,51.0,7.5,7.0,17.0,41.0,8.0,8.5,15.0,41.0,12.0,13.0,26.0,51.0,251.0
jguDBW3F,JAPAN 2,ROUND 38,2025-11-29,02:00,Kumamoto,Kofu,2.4,2.2,4.75,1.4,2.75,3.0,1.36,8.0,1.08,1.76,3.3,4.5,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.83,1.83,1.18,1.33,1.95,9.0,12.0,23.0,51.0,7.0,6.5,15.0,41.0,8.0,8.5,15.0,41.0,15.0,15.0,29.0,51.0,301.0
ttRPG6Oc,JAPAN 2,ROUND 38,2025-11-29,02:00,Mito,Oita Trinita,2.2,2.05,7.5,1.53,2.38,3.5,1.29,11.0,1.05,1.53,3.5,6.5,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.5,1.5,1.11,1.29,2.3,6.5,12.0,34.0,81.0,4.75,7.0,23.0,67.0,6.0,9.5,26.0,67.0,11.0,17.0,41.0,101.0,81.0
fkh7bP8T,JAPAN 2,ROUND 38,2025-11-29,02:00,Vegalta Sendai,Iwaki,2.5,2.2,4.5,1.4,2.75,3.0,1.36,8.0,1.08,1.86,3.4,3.9,1.06,9.5,1.3,3.4,2.05,1.75,3.5,1.29,7.0,1.1,1.83,1.83,1.25,1.3,1.91,9.5,11.0,21.0,41.0,7.0,6.5,15.0,34.0,8.5,9.0,15.0,41.0,15.0,17.0,29.0,51.0,301.0
EZYwg3Wj,JAPAN 2,ROUND 38,2025-11-29,02:00,Montedio Yamagata,Fujieda MYFC,2.75,2.25,3.75,1.33,3.25,2.63,1.44,7.0,1.1,2.05,3.4,3.3,1.05,11.0,1.25,3.75,1.8,2.0,3.0,1.36,5.5,1.14,1.67,2.1,1.33,1.3,1.7,12.0,12.0,19.0,34.0,9.0,6.5,12.0,26.0,11.0,9.0,13.0,29.0,19.0,17.0,23.0,41.0,151.0
tAhL5tGd,JAPAN 2,ROUND 38,2025-11-29,02:00,Tokushima,V-Varen Nagasaki,3.5,2.1,3.1,1.4,2.75,3.0,1.36,8.0,1.08,2.95,3.05,2.35,1.07,9.0,1.3,3.4,2.03,1.78,3.5,1.29,7.0,1.1,1.73,2.0,1.53,1.36,1.36,9.0,8.5,12.0,23.0,9.5,6.0,10.0,21.0,15.0,11.0,13.0,29.0,29.0,23.0,34.0,41.0,201.0
boN5DhZ2,JAPAN 2,ROUND 38,2025-11-29,02:00,Sagan Tosu,Iwata,3.0,2.2,3.4,1.36,3.0,2.75,1.4,7.0,1.1,2.32,3.25,2.82,1.05,11.0,1.25,3.75,1.83,1.98,3.0,1.36,6.0,1.13,1.67,2.1,1.4,1.33,1.53,11.0,10.0,15.0,29.0,9.0,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
8dfD72op,JAPAN 2,ROUND 38,2025-11-29,02:00,Renofa Yamaguchi,Omiya Ardija,3.5,2.2,2.88,1.36,3.0,2.75,1.4,7.0,1.1,2.95,3.25,2.2,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.67,2.1,1.62,1.33,1.36,11.0,8.5,12.0,21.0,11.0,6.5,9.5,19.0,17.0,12.0,13.0,26.0,34.0,23.0,29.0,41.0,151.0
lCDtDONM,JAPAN 2,ROUND 38,2025-11-29,02:00,Toyama,Blaublitz,2.75,2.1,4.33,1.44,2.63,3.0,1.36,9.0,1.07,1.96,3.3,3.6,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.83,1.83,1.29,1.33,1.8,9.0,10.0,19.0,41.0,7.0,6.5,13.0,34.0,9.5,9.0,15.0,41.0,17.0,17.0,29.0,51.0,301.0
Myfa0ovH,JAPAN 2,ROUND 38,2025-11-29,02:00,Hokkaido Consadole Sapporo,Ehime,2.1,2.5,5.0,1.29,3.5,2.25,1.57,5.5,1.14,1.57,3.9,5.0,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.62,2.2,1.17,1.25,2.25,15.0,17.0,29.0,51.0,9.0,7.5,17.0,34.0,9.0,8.5,13.0,41.0,13.0,12.0,21.0,41.0,151.0
UP3NU0OH,AUSTRALIA 1,ROUND 6,2025-11-29,03:00,Central Coast Mariners,Melbourne City,4.75,2.3,2.3,1.33,3.25,2.63,1.44,6.5,1.11,4.75,3.5,1.71,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xj7VSvgU,AUSTRALIA 1,ROUND 6,2025-11-29,05:35,WS Wanderers,Sydney FC,3.25,2.4,2.75,1.25,3.75,2.2,1.62,5.0,1.17,2.95,3.7,2.15,1.02,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.44,2.63,1.67,1.29,1.36,17.0,12.0,13.0,21.0,15.0,7.5,9.5,15.0,19.0,11.0,11.0,21.0,34.0,21.0,23.0,29.0,101.0
MguVGXEs,TURKEY 2,ROUND 15,2025-11-29,07:30,Erzurumspor,Istanbulspor AS,2.1,2.3,6.0,1.36,3.0,2.75,1.4,7.0,1.1,1.53,3.75,5.75,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.91,1.8,1.14,1.25,2.38,11.0,15.0,29.0,67.0,6.5,7.5,19.0,41.0,7.0,8.5,17.0,51.0,11.0,13.0,29.0,51.0,301.0
AkSLPScC,TURKEY 2,ROUND 15,2025-11-29,07:30,Keciorengucu,Igdir FK,2.88,2.25,3.5,1.33,3.25,2.63,1.44,7.0,1.1,2.2,3.4,2.9,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.67,2.1,1.4,1.3,1.67,12.0,11.0,17.0,34.0,9.0,7.0,11.0,23.0,12.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
AobLn82n,ESTONIA 1,RELEGATION,2025-11-29,07:30,Kuressaare,Viimsi JK,2.5,2.22,3.33,1.31,3.15,2.4,1.45,5.7,1.11,2.05,3.6,2.9,1.02,12.0,1.22,3.9,1.66,2.0,2.72,1.4,4.8,1.15,1.62,2.17,1.33,1.23,1.57,12.0,9.5,14.0,31.0,7.5,6.0,9.0,21.0,9.5,7.5,11.0,26.0,17.0,14.0,21.0,41.0,41.0
QXQZyH9a,PORTUGAL 2,ROUND 12,2025-11-29,08:00,Academico Viseu,Penafiel,2.2,2.25,6.0,1.4,2.75,2.75,1.4,8.0,1.08,1.57,3.5,5.5,1.06,9.5,1.29,3.5,1.98,1.83,3.4,1.3,7.0,1.1,1.91,1.8,1.13,1.25,2.2,9.5,15.0,29.0,67.0,6.5,7.0,19.0,41.0,7.0,8.5,17.0,51.0,12.0,13.0,29.0,51.0,351.0
EqSwtyi2,PORTUGAL 3,ROUND 11,2025-11-29,08:00,AD Marco 09,Sanjoanense,2.85,1.98,3.85,1.45,2.37,2.95,1.25,7.4,1.04,2.22,2.95,3.3,1.07,6.6,1.4,2.52,2.15,1.55,3.65,1.2,6.4,1.04,1.87,1.75,1.29,1.33,1.62,7.2,7.7,15.0,40.0,6.1,5.5,11.0,30.0,9.5,8.5,14.5,40.0,20.0,18.5,32.0,75.0,700.0
UybSXeMh,TURKEY 1,ROUND 14,2025-11-29,08:30,Rizespor,Kayserispor,2.5,2.38,4.0,1.3,3.4,2.5,1.5,6.0,1.13,1.86,3.75,3.6,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.62,2.2,1.29,1.25,1.91,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
2kSVBuAD,NORWAY 2,RELEGATION,2025-11-29,09:00,Brattvag,Moss,3.0,2.3,3.1,1.3,3.4,2.5,1.5,6.0,1.13,2.3,3.4,2.6,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.44,1.29,1.53,15.0,11.0,15.0,26.0,10.0,7.0,10.0,19.0,15.0,9.0,12.0,26.0,26.0,19.0,21.0,41.0,126.0
fFFxz7Vb,GERMANY 2,ROUND 14,2025-11-29,09:00,Holstein Kiel,Hertha Berlin,3.0,2.3,3.25,1.33,3.25,2.5,1.5,6.5,1.11,2.4,3.5,2.75,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,1.4,1.29,1.53,13.0,11.0,15.0,29.0,10.0,6.5,11.0,21.0,13.0,9.5,12.0,26.0,23.0,19.0,23.0,41.0,151.0
0zoBl6ph,GERMANY 2,ROUND 14,2025-11-29,09:00,Greuther Furth,Bochum,3.25,2.4,2.75,1.29,3.5,2.25,1.57,5.5,1.14,3.0,3.6,2.2,1.02,17.0,1.14,5.5,1.53,2.4,2.25,1.57,4.0,1.22,1.5,2.5,1.67,1.29,1.36,17.0,11.0,13.0,21.0,13.0,7.5,9.5,15.0,19.0,11.0,11.0,21.0,34.0,21.0,23.0,34.0,101.0
2asSpOqH,GERMANY 2,ROUND 14,2025-11-29,09:00,Braunschweig,Kaiserslautern,3.4,2.38,2.75,1.29,3.5,2.38,1.53,5.5,1.14,3.0,3.5,2.25,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.5,2.5,1.62,1.29,1.36,15.0,11.0,13.0,21.0,13.0,7.0,9.5,17.0,19.0,12.0,11.0,21.0,34.0,21.0,26.0,34.0,101.0
