Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
6DHuUpwA,SOUTH KOREA 1,ROUND 19,2025-06-18,07:30,Jeju SK,Gwangju FC,3.4,2.0,3.4,1.5,2.5,3.1,1.34,7.1,1.08,2.7,3.1,2.7,1.1,6.2,1.45,2.62,2.32,1.57,4.2,1.2,7.5,1.07,2.0,1.73,1.44,1.36,1.44,7.5,7.5,12.0,29.0,7.5,6.0,11.0,23.0,12.0,11.0,17.0,41.0,29.0,23.0,41.0,51.0,401.0
2uBlSO7M,SOUTH KOREA 1,ROUND 19,2025-06-18,07:30,Daejeon,Gimcheon Sangmu,3.6,2.25,2.75,1.37,2.92,2.62,1.45,5.8,1.12,3.1,3.6,2.15,1.05,8.5,1.26,3.6,1.78,1.98,2.85,1.39,5.0,1.15,1.67,2.1,1.67,1.29,1.36,12.0,9.0,11.0,21.0,11.0,7.0,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
nFRPvXfS,CHINA 1,ROUND 6,2025-06-18,08:35,Henan Songshan Longmen,Shanghai Port,3.25,2.5,2.63,1.25,3.6,2.1,1.65,4.2,1.19,2.9,4.0,2.15,1.03,9.75,1.14,4.9,1.45,2.57,2.1,1.65,3.3,1.29,1.4,2.75,1.67,1.22,1.4,21.0,13.0,15.0,21.0,15.0,8.5,9.5,15.0,19.0,11.0,11.0,19.0,34.0,21.0,21.0,29.0,81.0
bBEZgIIM,CHINA 1,ROUND 13,2025-06-18,09:00,Shenzhen Xinpengcheng,Wuhan Three Towns,3.0,2.25,3.25,1.37,2.87,2.55,1.45,5.5,1.11,2.4,3.5,2.75,1.05,8.0,1.24,3.65,1.72,2.0,2.72,1.4,4.65,1.16,1.62,2.2,1.4,1.29,1.53,13.0,11.0,15.0,29.0,10.0,6.5,10.0,21.0,13.0,9.5,12.0,26.0,23.0,19.0,23.0,41.0,151.0
xzBzUG8l,FINLAND 2,-,2025-06-18,11:00,SJK Akatemia,KaPa,2.05,2.72,3.8,0.0,0.0,1.7,1.93,0.0,0.0,1.65,4.45,3.85,0.0,0.0,0.0,0.0,1.24,3.3,1.6,2.07,2.25,1.5,1.29,2.95,1.22,1.18,2.18,32.0,29.0,37.0,70.0,18.0,11.5,15.0,28.0,14.5,9.5,11.75,22.0,17.5,11.5,14.0,25.0,90.0
ji6PQkgm,FINLAND 1,-,2025-06-18,11:00,Mariehamn,KuPS,6.5,2.4,1.95,1.36,3.0,2.57,1.47,5.6,1.12,6.0,4.5,1.48,1.05,8.75,1.25,3.7,1.75,2.02,2.8,1.4,4.8,1.16,1.91,1.91,2.63,1.18,1.13,13.0,7.5,7.0,10.0,17.0,8.5,8.5,12.0,34.0,19.0,19.0,23.0,67.0,41.0,41.0,51.0,301.0
40X688wJ,FINLAND 1,-,2025-06-18,11:00,Ilves,SJK,2.2,2.5,4.5,1.28,3.45,2.22,1.62,4.65,1.17,1.67,4.2,4.5,1.03,10.25,1.16,4.75,1.5,2.45,2.25,1.6,3.65,1.26,1.53,2.38,1.18,1.22,2.15,19.0,17.0,26.0,51.0,10.0,8.5,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
ABgyxjMU,ESTONIA 1,ROUND 17,2025-06-18,12:00,Levadia,Tallinna Kalev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xbeTwCiI,ESTONIA 1,ROUND 17,2025-06-18,12:00,Narva,Flora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p0ErSfw1,FINLAND 2,-,2025-06-18,12:30,PK-35,SalPa,1.95,2.25,6.1,1.38,2.6,2.47,1.42,0.0,0.0,1.45,4.1,6.5,0.0,0.0,1.24,3.3,1.72,1.88,2.7,1.35,0.0,0.0,1.88,1.72,1.11,1.19,2.67,11.25,17.0,40.0,150.0,6.6,8.0,20.0,70.0,6.6,8.25,18.5,65.0,9.5,12.0,27.0,90.0,700.0
Qe9n4rto,FINLAND 2,-,2025-06-18,12:30,JJK Jyvaskyla,KuPS Akatemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lndNcxPM,WORLD - FIFA CLUB WORLD CUP,ROUND 1,2025-06-18,13:00,Manchester City,Wydad,1.25,4.0,26.0,1.21,4.3,1.93,1.85,3.75,1.26,1.05,17.0,34.0,1.02,15.0,1.1,7.0,1.33,3.35,1.82,2.0,2.77,1.45,3.4,1.3,1.01,1.03,11.0,21.0,41.0,151.0,501.0,10.0,29.0,67.0,351.0,6.0,17.0,67.0,201.0,5.5,15.0,51.0,301.0,0.0
j5Bqt2Yo,ESTONIA 1,ROUND 17,2025-06-18,13:00,Parnu JK Vaprus,Paide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r95bAueR,NORWAY 2,ROUND 11,2025-06-18,14:00,Stabaek,Egersund,2.3,2.5,4.0,1.28,3.3,2.2,1.6,4.5,1.17,1.8,4.0,3.9,1.03,9.0,1.17,4.5,1.52,2.37,2.25,1.57,3.65,1.24,1.53,2.38,1.25,1.22,1.95,17.0,17.0,23.0,41.0,10.0,8.0,13.0,29.0,11.0,8.5,13.0,29.0,15.0,13.0,19.0,41.0,126.0
nsCkC1QE,NORWAY 2,ROUND 11,2025-06-18,14:00,Skeid,Sogndal,4.0,2.3,2.5,1.36,2.9,2.5,1.47,5.3,1.12,3.6,3.6,1.91,1.05,8.0,1.23,3.75,1.7,2.05,2.6,1.44,4.4,1.17,1.62,2.2,1.83,1.29,1.29,13.0,9.0,10.0,17.0,13.0,7.0,8.5,15.0,21.0,13.0,13.0,21.0,41.0,26.0,29.0,41.0,151.0
