Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
QThi5GeC,2025-12-01,06:00,WORLD FRIENDLY WOM,-,Cyprus W,Luxembourg W,3.05,2.22,2.87,2.5,3.4,2.4,1.26,3.5,2.18,1.5,4.8,1.15,1.02,14.0,1.17,4.4,1.55,2.15,2.18,1.53,4.0,1.2,1.48,2.47,1.47,1.26,1.42
vFqRqlQN,2025-12-01,07:00,ETHIOPIA 1,Round 8,Shire Endaselassie,Hawassa,4.7,2.07,2.4,4.35,3.3,1.72,1.39,2.45,3.25,1.27,7.25,1.04,1.08,5.45,1.45,2.4,2.02,1.6,4.25,1.15,7.25,1.04,2.37,1.52,1.88,1.28,1.18
OENbeyYq,2025-12-01,07:00,EUROPA U19 WOM,Qualification,Kazakhstan U19 W,Malta U19 W,2.1,2.3,4.5,1.57,3.7,4.6,1.29,3.3,2.55,1.45,6.5,1.08,1.01,11.0,1.2,4.0,1.65,2.1,2.88,1.36,5.5,1.11,1.67,2.05,1.57,3.7,4.6
CCRtO83T,2025-12-01,07:00,ARMENIA 1,Round 15,Ararat-Armenia,Shirak Gyumri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,1.6,0.0,0.0,0.0
dSL6gF2d,2025-12-01,07:00,EUROPA U19 WOM,Qualification,Latvia U19 W,Israel U19 W,5.0,2.5,1.91,5.0,4.2,1.36,1.2,4.0,2.2,1.6,5.2,1.13,1.01,17.0,1.11,5.5,1.45,2.55,2.25,1.57,4.0,1.2,1.57,2.15,5.0,4.2,1.36
tjE4r4je,2025-12-01,08:00,WORLD FRIENDLY WOM,-,Ukraine W,Austria W,6.5,2.3,1.91,6.5,4.0,1.36,1.3,3.2,2.75,1.4,7.0,1.07,1.01,11.0,1.25,3.6,1.8,1.91,3.2,1.3,6.5,1.08,2.0,1.7,2.75,1.2,1.08
ryUgFdPF,2025-12-01,08:00,EUROPA U19 WOM,Qualification,North Macedonia U19 W,Slovenia U19 W,5.0,2.5,1.91,5.0,4.0,1.44,1.2,4.0,2.2,1.6,4.8,1.14,1.01,17.0,1.11,5.5,1.45,2.55,2.2,1.6,4.0,1.2,1.57,2.2,5.0,4.0,1.44
4UtS0cAM,2025-12-01,08:00,EUROPA U19 WOM,Qualification,Azerbaijan U19 W,Georgia U19 W,4.2,2.3,2.25,3.8,3.5,1.73,1.25,3.6,2.4,1.5,5.5,1.11,1.01,13.0,1.17,4.5,1.6,2.2,2.6,1.44,4.8,1.14,1.57,2.2,3.8,3.5,1.73
4bvpRS2n,2025-12-01,08:30,ROMANIA 2,Round 15,Sepsi Sf. Gheorghe,Poli Iasi,2.25,2.2,4.5,1.62,3.4,4.4,1.33,3.0,2.88,1.36,7.5,1.06,1.02,10.0,1.25,3.6,1.85,1.85,3.3,1.29,7.0,1.07,1.83,1.83,1.14,1.29,2.1
EmxfYQre,2025-12-01,09:00,NORTH MACEDONIA 1,Round 15,Shkendija,Rabotnicki,1.57,2.63,9.5,1.15,5.5,11.0,1.25,3.6,2.4,1.5,6.5,1.08,1.01,13.0,1.17,4.5,1.73,2.0,2.75,1.4,4.32,1.18,2.3,1.53,1.06,1.12,3.35
2PtSdl9l,2025-12-01,09:30,EUROPA U19 WOM,Qualification,Luxembourg U19 W,Slovakia U19 W,8.5,3.2,1.44,11.0,6.5,1.11,1.13,5.2,1.85,1.85,3.8,1.22,0.0,0.0,1.05,8.0,1.29,3.3,1.75,1.95,0.0,0.0,1.7,1.83,11.0,6.5,1.11
zBQoHIf3,2025-12-01,09:30,EUROPA U19 WOM,Qualification,Liechtenstein U19 W,Albania U19 W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zyx4n1ln,2025-12-01,10:00,DRC 1,Round 10,AS New Soger,US Panda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8lIpDXGk,2025-12-01,10:00,KENYA 1,Round 11,Bidco United,Posta Rangers,3.2,1.83,4.0,2.25,2.63,3.1,1.57,2.25,4.0,1.2,11.0,1.01,1.08,6.5,1.57,2.25,2.88,1.36,6.5,1.08,13.0,1.01,2.3,1.53,1.29,1.36,1.5
8UZdvSmo,2025-12-01,10:00,ETHIOPIA 1,Round 8,Sidama Bunna,Ethiopia Nigd Bank,2.62,1.82,5.0,1.9,2.92,4.2,1.57,2.02,3.26,1.23,9.5,1.04,1.08,5.3,1.55,2.15,2.4,1.45,4.5,1.14,10.0,1.03,2.22,1.58,1.19,1.33,1.72
YV3fdNaK,2025-12-01,10:00,DRC 1,Round 5,Tanganyika,Manika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QiVIS6cD,2025-12-01,10:00,DRC 1,Round 10,Sanga Balende,Blessing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lQCq2Vuh,2025-12-01,10:00,ETHIOPIA 1,Round 8,Ethiopia Bunna,Hadiya Hossana,2.92,1.78,4.5,2.12,2.77,3.65,1.62,1.95,3.41,1.21,10.0,1.03,1.11,5.0,1.6,2.07,2.83,1.33,5.55,1.1,11.0,1.02,2.42,1.5,1.24,1.36,1.57
htzjociJ,2025-12-01,10:00,DRC 1,Round 5,Malole,Lubumbashi Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nc6OgbNH,2025-12-01,10:00,DRC 1,Round 1,Groupe Bazano,Saint-Luc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2FiAB1BF,2025-12-01,10:00,WORLD FRIENDLY WOM,-,Turkey W,Albania W,1.62,2.7,8.0,1.18,5.0,9.5,1.22,3.8,2.25,1.57,5.5,1.11,1.01,17.0,1.11,5.5,1.5,2.4,2.25,1.57,4.0,1.2,1.95,1.73,1.04,1.13,3.75
CKZbIkwB,2025-12-01,10:00,WORLD FIFA ARAB CUP,Round 1,Tunisia,Syria,2.18,2.1,5.4,1.6,3.65,5.2,1.42,2.45,2.85,1.3,7.0,1.05,1.07,7.6,1.36,2.67,2.05,1.62,3.4,1.23,7.2,1.06,2.07,1.6,1.15,1.24,2.27
dArELaD7,2025-12-01,10:00,TUNISIA 2,Round 11,Megrine,Sporting Ben Arous,3.4,1.91,3.5,2.55,2.75,2.75,1.53,2.38,3.5,1.25,9.5,1.04,1.07,7.0,1.45,2.55,2.55,1.45,5.5,1.13,11.0,1.01,2.05,1.67,1.36,1.35,1.42
bsPsIwMt,2025-12-01,10:00,DRC 1,Round 6,Mazembe,Tanganyika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xUmlbh9T,2025-12-01,10:15,TANZANIA 1,Round 10,Mashujaa,Coastal Union,2.1,1.91,7.5,1.5,3.3,6.0,1.5,2.4,3.8,1.22,11.0,1.01,1.07,7.0,1.5,2.4,2.75,1.4,5.5,1.11,11.0,1.01,2.7,1.4,1.07,1.2,2.37
ChFHeXu3,2025-12-01,10:30,UKRAINE 1,Round 14,Dyn. Kyiv,SC Poltava,1.25,4.33,13.0,1.03,11.0,21.0,1.06,7.5,1.45,2.55,2.4,1.5,1.01,45.0,1.01,13.0,1.11,5.5,1.33,3.0,1.75,1.95,1.8,1.87,1.01,1.03,10.0
pxb0hxft,2025-12-01,11:00,PORTUGAL 2,Round 12,Pacos Ferreira,Felgueiras,4.0,2.1,2.88,3.1,3.1,2.15,1.44,2.63,3.25,1.33,9.0,1.07,1.07,9.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,1.62,1.33,1.33
