Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
vygddonA,ESTONIA 2,ROUND 14,2025-06-03,13:00,FC Tallinn,Nomme Kalju U21,1.55,3.05,6.2,0.0,0.0,1.62,1.95,0.0,0.0,1.24,5.8,7.7,0.0,0.0,0.0,0.0,1.53,2.2,1.57,2.12,0.0,0.0,0.0,0.0,1.07,1.1,3.85,30.0,32.0,60.0,150.0,13.0,12.5,22.0,55.0,8.75,8.5,15.0,37.0,8.75,8.5,15.0,37.0,150.0,1,0,7,0,"[21, 50, 53, 70, 80, 88, 89]",[],0,0
QBDncw6U,CHILE 1,ROUND 13,2025-06-03,16:00,U. Espanola,Limache,2.88,2.38,3.2,1.3,3.4,2.3,1.6,4.9,1.17,2.4,3.4,2.75,1.04,11.75,1.19,4.8,1.57,2.42,2.37,1.6,4.05,1.25,1.5,2.5,1.4,1.3,1.53,15.0,13.0,17.0,29.0,12.0,7.0,11.0,19.0,15.0,10.0,11.0,23.0,23.0,17.0,21.0,34.0,101.0,0,1,2,2,"[63, 90]","[34, 64]",1.96,1.71
UaKHViFM,ECUADOR 2,ROUND 12,2025-06-03,17:30,Nueve de Octubre,Leones del Norte,3.1,1.8,4.1,1.6,2.07,0.0,0.0,0.0,0.0,2.4,2.72,3.25,1.13,4.4,1.57,2.12,2.6,1.38,4.4,1.13,0.0,0.0,2.12,1.57,1.29,1.38,1.55,4.7,6.7,15.0,50.0,5.7,5.6,13.0,40.0,10.25,10.0,19.0,65.0,26.0,25.0,50.0,150.0,900.0,0,0,1,0,[88],[],0,0
K8Dcw6PF,URUGUAY 2,ROUND 4,2025-06-03,19:00,Tacuarembo,Cerrito,2.42,2.0,4.8,1.44,2.42,2.57,1.39,0.0,0.0,1.88,3.05,4.3,0.0,0.0,1.4,2.52,2.15,1.55,3.6,1.2,0.0,0.0,1.93,1.7,1.19,1.31,1.87,7.2,9.5,23.0,80.0,5.9,6.1,15.0,55.0,8.25,8.5,17.0,65.0,16.0,16.5,32.0,100.0,1000.0,1,0,2,0,"[35, 90]",[],0,0
Gz76ypfS,URUGUAY 2,ROUND 4,2025-06-03,19:30,Rampla Juniors,Oriental,3.85,1.87,3.1,1.57,2.12,2.6,1.38,0.0,0.0,3.1,2.95,2.35,1.13,4.45,1.55,2.15,2.57,1.39,4.5,1.13,0.0,0.0,2.18,1.53,1.57,1.34,1.36,5.0,5.6,9.75,24.0,6.6,6.0,10.25,26.0,13.5,12.5,21.0,50.0,40.0,37.0,65.0,150.0,900.0,0,0,1,2,[83],"[77, 86]",0,0
867qpiUF,ECUADOR 2,ROUND 12,2025-06-03,21:00,Imbabura,Chacaritas,1.85,2.5,5.6,1.39,2.57,2.12,1.57,0.0,0.0,1.44,4.2,6.3,0.0,0.0,1.26,3.2,1.75,1.85,2.8,1.33,0.0,0.0,1.98,1.65,1.11,1.19,2.72,10.75,15.5,40.0,150.0,6.4,8.25,21.0,75.0,6.4,8.5,21.0,75.0,9.25,12.0,30.0,110.0,1000.0,1,1,4,1,"[15, 49, 55, 58]",[12],0,0
