Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
2aFHGEcU,2025-12-13,00:00,AUSTRALIA 1 WOM,Round 5,Newcastle W,Brisbane Roar W,3.2,2.5,2.5,2.8,3.6,2.15,1.2,4.0,2.1,1.65,4.8,1.14,1.01,15.0,1.08,6.5,1.4,2.75,2.1,1.65,3.6,1.25,1.36,2.88,1.62,1.29,1.4
tKsIqDRG,2025-12-13,02:50,AUSTRALIA 1 WOM,Round 7,Melbourne Victory W,Adelaide W,2.25,2.38,4.2,1.7,3.6,4.0,1.25,3.6,2.4,1.5,5.5,1.11,1.01,13.0,1.17,4.5,1.6,2.2,2.6,1.44,4.8,1.14,1.57,2.25,1.2,1.22,2.0
O04Vcah4,2025-12-13,03:00,AUSTRALIA 1,Round 8,WS Wanderers,Brisbane Roar,2.5,2.2,4.33,1.91,3.8,3.6,1.36,3.0,2.75,1.4,8.0,1.08,1.05,11.0,1.3,3.5,1.98,1.88,3.4,1.33,6.5,1.11,1.8,1.95,1.29,1.25,1.8
EXuQsidT,2025-12-13,03:30,AUSTRALIA 1 WOM,Round 7,Canberra W,Melbourne City W,4.5,2.5,2.0,5.0,4.0,1.53,1.22,3.8,2.25,1.57,5.5,1.11,1.01,13.0,1.11,5.5,1.5,2.4,2.25,1.57,4.0,1.2,1.57,2.25,2.38,1.2,1.14
dE2wdwNG,2025-12-13,05:35,AUSTRALIA 1,Round 8,Melbourne Victory,Adelaide United,2.75,2.4,3.25,2.15,4.0,2.82,1.25,3.75,2.2,1.62,5.0,1.17,1.02,19.0,1.17,5.0,1.53,2.5,2.38,1.57,4.0,1.25,1.5,2.5,1.4,1.22,1.67
OGrpmF6C,2025-12-13,07:00,BULGARIA CUP,1/8-finals,Slavia Sofia,CSKA 1948 Sofia,3.75,2.0,2.8,3.1,3.0,2.2,1.4,2.75,3.2,1.3,8.0,1.05,1.05,8.0,1.33,3.0,2.2,1.6,4.0,1.2,8.0,1.05,1.85,1.85,1.62,1.33,1.3
d4PVKd3T,2025-12-13,07:00,AZERBAIJAN 1,Round 15,Shamakhi,Zira,5.5,2.0,2.25,5.0,3.4,1.62,1.44,2.63,3.2,1.3,8.5,1.05,1.07,8.0,1.4,2.88,2.3,1.6,4.33,1.2,9.0,1.06,2.2,1.62,2.1,1.25,1.11
htdnfHiT,2025-12-13,07:45,AUSTRALIA 1,Round 8,Perth Glory,Sydney FC,3.75,2.4,2.4,3.7,3.8,1.91,1.29,3.5,2.25,1.57,5.5,1.14,1.02,17.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,1.5,2.5,1.8,1.25,1.29
U5kp7IOH,2025-12-13,09:00,ENGLAND 1 WOM,Round 11,Everton W,Arsenal W,11.0,2.75,1.53,13.0,6.0,1.15,1.25,3.75,2.2,1.62,4.5,1.17,1.01,15.0,1.17,4.5,1.53,2.38,2.25,1.57,4.0,1.22,2.25,1.57,4.5,1.11,1.01
0Gtef4Rh,2025-12-13,09:30,CYPRUS 2,Round 12,Achyronas-Onisilos,ASIL Lysi,4.18,2.1,2.42,3.8,3.25,1.88,1.37,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2.9,2.12,1.62,3.8,1.21,0.0,0.0,1.87,1.74,1.68,1.27,1.22
lxDxxNBO,2025-12-13,09:30,CYPRUS 2,Round 12,Digenis Akritas,Zakakiou,2.04,2.21,5.3,1.57,3.6,5.33,1.34,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.15,1.98,1.72,3.5,1.25,6.5,1.07,1.98,1.65,1.13,1.22,2.0
S2rmdQdt,2025-12-13,09:30,CYPRUS 2,Round 12,M.E.A.P. Nisou,Halkanoras,2.51,2.22,3.58,2.0,3.33,3.33,0.0,0.0,2.45,1.42,0.0,0.0,0.0,0.0,1.23,3.6,1.79,1.89,3.0,1.33,5.6,1.1,1.63,2.02,1.27,1.26,1.6
