Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
t60wM8rg,CHINA 2,ROUND 5,2025-04-23,04:30,Foshan Nanshi,Dingnan Ganlian,2.92,1.95,3.75,1.49,2.45,0.0,0.0,0.0,0.0,2.37,2.77,3.25,0.0,0.0,1.39,2.8,2.19,1.6,3.9,1.21,0.0,0.0,1.75,1.87,1.33,1.38,1.55,7.3,8.5,17.0,45.0,7.2,5.4,11.0,32.0,11.75,9.0,13.0,37.0,27.0,21.0,30.0,65.0,600.0,0,0,0,0,[],[],0.42,1.36
xYabHyUp,SOUTH KOREA 1,ROUND 19,2025-04-23,07:30,Anyang,Ulsan HD,4.33,2.1,2.63,1.44,2.6,2.75,1.4,7.4,1.07,3.9,3.4,2.0,1.08,7.1,1.35,3.05,2.07,1.7,3.6,1.26,6.3,1.1,1.83,1.83,1.8,1.3,1.25,9.0,7.0,9.0,17.0,10.0,6.5,9.0,17.0,19.0,13.0,15.0,29.0,41.0,34.0,41.0,51.0,301.0,0,0,0,1,[],[51],0,0
nJVwKnD5,CHINA 2,ROUND 5,2025-04-23,08:30,Guangxi Pingguo Haliao,Guangdong GZ-Power,8.0,2.18,1.87,1.45,2.55,2.7,1.41,0.0,0.0,8.75,4.15,1.36,0.0,0.0,1.41,2.7,2.22,1.59,4.0,1.2,0.0,0.0,2.57,1.38,3.05,1.18,1.07,7.8,4.7,5.0,7.6,16.0,9.0,9.75,15.0,55.0,32.0,35.0,55.0,300.0,175.0,175.0,300.0,1000.0,0,2,1,3,[83],"[35, 42, 48]",0.88,0.91
fqZoIQsI,CHINA 2,ROUND 5,2025-04-23,08:30,Shijiazhuang Gongfu,Suzhou Dongwu,3.3,1.78,3.95,1.67,2.1,0.0,0.0,0.0,0.0,2.5,2.57,3.3,1.14,4.9,1.62,2.15,2.95,1.35,4.4,1.17,0.0,0.0,2.12,1.57,1.28,1.42,1.5,4.5,7.0,16.0,50.0,5.5,5.3,12.5,40.0,10.75,10.5,18.5,60.0,29.0,30.0,55.0,120.0,900.0,1,0,1,1,[13],[64],1.39,1.20
86RmwLDs,ITALY 4,GROUP C,2025-04-23,10:00,Mestre,Bassano,2.82,1.98,3.65,1.45,2.27,0.0,0.0,0.0,0.0,2.15,3.2,3.0,0.0,0.0,1.44,2.6,2.31,1.55,4.3,1.18,0.0,0.0,2.03,1.7,1.36,1.29,1.65,7.7,6.7,11.75,29.0,5.5,5.4,9.5,23.0,7.9,7.8,14.0,35.0,16.0,16.0,28.0,70.0,600.0,1,0,1,0,[35],[],0,0
xEZFWdIs,CROATIA 1,ROUND 31,2025-04-23,10:00,Gorica,D. Zagreb,7.0,2.5,1.83,1.27,3.45,2.29,1.56,4.95,1.14,7.0,5.0,1.36,1.04,9.25,1.19,4.3,1.61,2.22,2.5,1.49,4.25,1.2,1.83,1.83,3.0,1.17,1.1,15.0,8.0,7.0,9.0,19.0,10.0,9.0,11.0,41.0,21.0,21.0,26.0,81.0,51.0,51.0,51.0,301.0,0,0,1,0,[68],[],0.67,1.17
bZ6idnJl,BOSNIA 1,ROUND 27,2025-04-23,11:00,Sloga Doboj,Zrinjski,6.6,2.05,2.1,1.48,2.45,2.75,1.4,0.0,0.0,6.5,3.7,1.5,1.1,6.2,1.45,2.6,2.35,1.55,4.4,1.19,0.0,0.0,2.32,1.47,2.5,1.23,1.11,7.4,4.9,5.7,9.75,12.5,7.6,9.0,15.0,37.0,23.0,26.0,45.0,175.0,100.0,110.0,200.0,800.0,0,2,0,4,[],"[39, 44, 49, 80]",0,0
KIvVCIxK,SERBIA 1,CHAMPIONSHIP GROUP,2025-04-23,11:00,Novi Pazar,Vojvodina,3.15,2.27,2.85,1.32,3.1,2.45,1.49,4.9,1.14,2.62,3.5,2.32,1.04,8.25,1.22,3.95,1.71,2.06,2.75,1.42,4.0,1.22,1.57,2.25,1.6,1.27,1.47,8.25,10.25,13.0,25.0,10.5,7.0,9.25,17.0,15.0,10.0,12.5,23.0,30.0,20.0,25.0,45.0,300.0,0,1,0,1,[],[31],1.26,1.25
4pytnY5T,SERBIA 2,RELEGATION GROUP,2025-04-23,11:00,FK Indjija,Dubocica,4.2,2.05,2.47,1.45,2.55,2.65,1.42,0.0,0.0,3.75,3.15,1.91,0.0,0.0,1.35,2.95,2.08,1.67,3.65,1.24,0.0,0.0,1.92,1.79,1.82,1.29,1.25,8.25,5.5,7.3,13.5,8.0,5.4,7.2,13.5,16.0,10.75,12.5,24.0,45.0,29.0,35.0,60.0,450.0,0,1,3,1,"[52, 54, 68]",[7],0,0
M1qPkG64,SERBIA 2,RELEGATION GROUP,2025-04-23,11:00,Sloven Ruma,Smederevo,3.3,1.9,3.35,1.58,2.26,0.0,0.0,0.0,0.0,2.6,2.85,2.67,1.1,5.8,1.5,2.42,2.55,1.46,4.6,1.16,0.0,0.0,2.11,1.65,1.44,1.35,1.47,6.4,5.7,10.0,24.0,5.6,5.0,8.75,22.0,9.75,8.5,13.5,35.0,23.0,21.0,32.0,75.0,101.0,0,0,1,0,[64],[],0,0
