Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
niVq3HQh,2025-12-07,00:00,NEW ZEALAND 1,Championship Group,Auckland FC 2,Auckland United,2.8,2.35,2.9,2.32,3.7,2.42,1.24,3.53,2.07,1.55,4.25,1.17,0.0,0.0,0.0,0.0,1.5,2.4,2.1,1.57,3.75,1.22,1.44,2.5,1.45,1.23,1.5
fHYi1ee5,2025-12-07,00:00,NEW ZEALAND 1,Championship Group,Birkenhead,Western Springs,2.67,2.4,2.95,2.25,3.7,2.55,0.0,0.0,1.95,1.62,0.0,0.0,0.0,0.0,0.0,0.0,1.36,2.9,1.88,1.72,3.0,1.33,1.35,2.85,1.4,1.23,1.52
QLKFX357,2025-12-07,00:10,MEXICO 1,Apertura,Tigres UANL,Cruz Azul,2.5,2.3,4.33,1.86,3.6,3.9,1.33,3.25,2.63,1.44,6.5,1.11,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,5.5,1.14,1.7,2.05,1.25,1.29,1.83
nD6Avz33,2025-12-07,01:00,AUSTRALIA 1 WOM,Round 6,Melbourne City W,Wellington Phoenix W,1.62,2.8,7.5,1.22,5.0,9.0,1.2,4.0,2.2,1.6,4.8,1.14,1.01,17.0,1.11,5.5,1.45,2.55,2.2,1.6,3.8,1.22,1.85,1.85,1.05,1.13,3.6
4EAB0TRp,2025-12-07,01:00,JAPAN 2,Promotion,Chiba,Omiya Ardija,2.63,2.3,3.75,1.96,3.5,3.5,1.33,3.25,2.63,1.44,6.5,1.11,1.04,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,1.29,1.29,1.8
pAmbOWJi,2025-12-07,01:10,JAPAN 2,Promotion,Tokushima,Iwata,2.75,2.1,4.33,1.96,3.25,3.7,1.4,2.75,3.0,1.36,8.0,1.08,1.07,9.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.83,1.83,1.29,1.33,1.8
ClgFPizo,2025-12-07,02:50,AUSTRALIA 1 WOM,Round 6,Adelaide W,Brisbane Roar W,2.4,2.4,3.6,1.9,3.8,3.25,1.2,4.0,2.2,1.6,5.2,1.13,1.01,17.0,1.11,5.5,1.45,2.55,2.25,1.57,4.0,1.2,1.44,2.6,1.3,1.22,1.83
hpW1meSi,2025-12-07,03:00,AUSTRALIA 1 WOM,Round 6,WS Wanderers W,Sydney W,3.75,2.2,2.63,3.1,3.3,2.05,1.33,3.0,2.75,1.4,7.0,1.07,1.01,11.0,1.22,3.8,1.85,1.85,3.2,1.3,6.5,1.08,1.65,2.1,1.67,1.29,1.3
Y7sKykeL,2025-12-07,05:30,HONG KONG 1,Round 8,Hong Kong FC,Tai Po,13.0,3.5,1.33,23.0,9.5,1.06,1.17,4.5,2.0,1.73,4.0,1.2,1.01,19.0,1.1,6.5,1.4,2.88,2.0,1.8,2.9,1.31,2.63,1.44,4.05,1.05,1.02
SYAMaLNi,2025-12-07,05:35,AUSTRALIA 1,Round 7,Adelaide United,Brisbane Roar,2.5,2.38,4.0,1.91,3.8,3.6,1.3,3.4,2.5,1.5,6.0,1.13,1.04,13.0,1.2,4.5,1.67,2.2,2.63,1.5,4.5,1.2,1.62,2.2,1.29,1.25,1.8
