Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
UBvREOpe,2025-12-11,06:00,ASIA SOUTHEAST ASIAN GAMES WOM,Round 3,Philippines W,Malaysia W,1.1,5.3,32.0,1.01,12.0,35.0,0.0,0.0,1.28,3.35,1.98,1.6,0.0,0.0,0.0,0.0,1.04,8.43,1.18,4.38,1.66,2.0,2.65,1.42,0.0,0.0,0.0
rytyt1qf,2025-12-11,06:00,ASIA SOUTHEAST ASIAN GAMES,Round 3,Vietnam U22,Malaysia U22,2.62,1.94,5.85,2.0,2.2,5.1,1.56,2.4,3.2,1.32,8.6,1.05,1.1,5.39,1.42,2.58,2.27,1.5,4.39,1.16,9.41,1.01,2.02,1.67,1.17,1.38,1.7
x4MJGpGr,2025-12-11,06:00,ASIA SOUTHEAST ASIAN GAMES WOM,Round 3,Vietnam W,Myanmar W,1.95,2.3,5.6,1.45,4.1,5.7,1.29,2.9,2.35,1.42,5.4,1.09,1.04,11.0,1.24,3.6,1.65,1.98,2.9,1.37,5.2,1.13,1.8,1.92,1.12,1.19,2.4
KfC8Zehe,2025-12-11,07:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Gamba Osaka (Jpn),Ratchaburi (Tha),1.67,2.75,6.5,1.25,4.75,8.0,1.2,4.0,2.1,1.67,4.5,1.17,1.02,16.0,1.11,5.5,1.45,2.55,2.2,1.6,3.8,1.22,1.73,1.95,1.05,1.13,3.3
lQ0BgHqR,2025-12-11,07:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Nam Dinh (Vie),Eastern AA (Hkg),1.36,3.5,12.0,1.06,8.5,20.0,1.14,5.0,1.8,1.91,3.5,1.25,1.01,25.0,1.05,8.0,1.29,3.3,1.75,1.95,2.42,1.44,2.15,1.6,1.03,1.07,3.65
0rNJ9u13,2025-12-11,07:30,ASIA ARABIAN GULF CUP U23,Round 3,Bahrain U23,Kuwait U23,3.45,1.98,2.95,2.82,3.15,2.3,1.44,2.32,3.05,1.33,7.5,1.06,1.06,7.6,1.36,2.9,2.02,1.62,3.75,1.23,7.3,1.06,1.88,1.83,1.5,1.3,1.35
n3uXox9d,2025-12-11,07:30,ASIA ARABIAN GULF CUP U23,Round 3,Qatar U23,Saudi Arabia U23,4.35,2.05,2.42,3.85,3.35,1.8,1.4,2.4,3.15,1.32,7.9,1.04,1.07,6.75,1.4,2.73,1.95,1.67,3.9,1.22,7.4,1.06,1.99,1.73,1.8,1.26,1.22
dOowZoYp,2025-12-11,09:00,ASIA SOUTHEAST ASIAN GAMES,Round 3,Thailand U22,Singapore U22,1.28,3.65,14.0,1.06,8.5,20.0,0.0,0.0,1.62,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.07,2.28,1.56,2.84,1.36,1.01,1.04,6.6
4IKPPuQM,2025-12-11,09:15,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Kaya (Phl),Pohang (Kor),9.5,3.0,1.5,12.0,6.5,1.12,1.2,4.0,2.1,1.67,5.0,1.14,1.01,17.0,1.11,5.5,1.44,2.6,2.2,1.6,3.15,1.26,2.05,1.67,4.5,1.07,1.03
8WzN5KYj,2025-12-11,09:15,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Pathum United (Tha),Tampines (Sgp),2.0,2.4,4.5,1.5,4.0,4.6,1.25,3.5,2.25,1.57,5.0,1.14,1.01,13.0,1.14,4.8,1.57,2.25,2.4,1.5,4.5,1.17,1.6,2.15,1.14,1.17,2.3
6NKwWMo3,2025-12-11,09:15,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Tai Po (Hkg),Cong An Ha Noi (Vie),4.5,2.5,2.0,4.75,4.0,1.55,1.22,3.75,2.25,1.57,5.0,1.14,1.01,13.0,1.11,5.5,1.5,2.4,2.25,1.57,4.0,1.2,1.57,2.2,2.3,1.17,1.13
8hK4Jq2c,2025-12-11,09:15,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Beijing Guoan (Chn),Macarthur FC (Aus),2.8,2.3,3.2,2.4,3.75,2.3,1.25,3.5,2.25,1.57,5.5,1.13,1.01,13.0,1.14,4.8,1.57,2.25,2.4,1.5,4.5,1.17,1.44,2.5,1.4,1.22,1.57
Q7Hpkno4,2025-12-11,10:00,KENYA 1,Round 13,Ulinzi Stars,KCB,4.0,1.73,3.4,3.0,2.55,2.4,1.65,2.1,4.8,1.14,13.0,1.01,1.11,5.5,1.73,2.0,3.3,1.29,7.5,1.06,17.0,1.01,2.5,1.44,1.5,1.4,1.3
pKd6wFYq,2025-12-11,10:00,ALGERIA CUP,1/16-finals,Bejaia,Widad Adabi de Boufarik,1.83,2.3,6.5,1.33,4.33,7.5,1.3,3.2,2.6,1.44,7.0,1.07,1.01,11.0,1.22,3.8,1.8,1.91,3.2,1.3,6.5,1.08,2.0,1.73,1.07,1.17,3.0
MwmHa5kn,2025-12-11,10:00,ALGERIA CUP,1/16-finals,CA Batna,Kolea,2.88,1.91,4.2,2.05,2.88,3.5,1.5,2.4,3.8,1.22,10.0,1.02,1.07,7.0,1.5,2.4,2.55,1.45,5.2,1.13,11.0,1.01,2.2,1.6,1.25,1.36,1.67
QVqYeNlB,2025-12-11,10:00,ALGERIA CUP,1/16-finals,Paradou,USF Constantine,1.53,2.7,12.0,1.13,6.0,14.0,1.29,3.3,2.4,1.5,6.5,1.08,1.01,13.0,1.2,4.0,1.65,2.1,2.75,1.4,5.5,1.11,2.75,1.4,1.02,1.1,4.5
EcJPUpjC,2025-12-11,10:00,ALGERIA CUP,1/16-finals,Ain Kercha,ASM Oran,5.3,1.98,2.27,4.85,3.35,1.65,1.45,2.25,3.3,1.29,8.3,1.05,1.06,7.0,1.4,2.71,2.12,1.57,4.0,1.2,6.0,1.05,2.1,1.62,1.98,1.26,1.16
fLUuwYKj,2025-12-11,10:00,UGANDA 1,Round 10,Entebbe UPPC,Express,3.1,1.91,3.6,2.25,2.8,3.0,1.45,2.55,3.6,1.25,9.0,1.03,1.06,7.5,1.44,2.6,2.4,1.5,4.8,1.14,10.0,1.02,2.0,1.7,1.33,1.36,1.53
OWj5Bq75,2025-12-11,11:00,JORDAN CUP,Round 8,Al Jazeera Amman,Shabab Al Ordon,2.88,1.91,4.0,2.75,2.8,2.55,1.5,2.4,3.8,1.25,10.0,1.02,1.07,7.0,1.45,2.55,2.55,1.45,5.5,1.13,11.0,1.01,2.1,1.65,1.25,1.36,1.62
