Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
drr3Eibd,2025-12-12,05:30,BANGLADESH 1,Round 6,Rahmatgonj MFS,Fortis,3.2,2.0,3.3,2.45,3.0,2.63,1.4,2.75,3.2,1.3,8.0,1.06,1.06,8.5,1.4,2.88,2.2,1.6,4.2,1.22,8.5,1.06,1.87,1.87,1.4,1.3,1.44
fHAHjCLH,2025-12-12,05:35,AUSTRALIA 1,Round 8,Central Coast Mariners,Auckland FC,5.0,2.3,2.25,4.75,3.9,1.66,1.33,3.25,2.63,1.44,6.5,1.11,1.04,12.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.75,2.0,2.1,1.25,1.18
CMtTsIuf,2025-12-12,07:45,SEYCHELLES 1,Round 7,Anse Reunion,Foresters FC,2.62,2.18,3.45,2.07,3.5,2.95,0.0,0.0,2.37,1.42,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.95,0.0,0.0,0.0,0.0,2.07,3.5,1.33,1.25,1.62
fwAIxEXF,2025-12-12,08:00,AUSTRALIA 1 WOM,Round 7,Perth W,Wellington Phoenix W,3.3,2.2,2.8,2.8,3.3,2.2,1.29,3.3,2.55,1.45,6.5,1.08,1.01,11.0,1.2,4.0,1.73,2.0,2.88,1.36,5.5,1.11,1.57,2.25,1.57,1.29,1.36
dMEHhvTa,2025-12-12,08:00,ASIA SOUTHEAST ASIAN GAMES,Round 3,Indonesia U22,Myanmar U22,1.5,2.7,11.0,1.14,6.0,14.5,0.0,0.0,2.07,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.57,0.0,0.0,1.14,6.0,1.03,1.08,3.55
G4bj3SN7,2025-12-12,08:00,ITALY U19,Round 15,Parma U20,Monza U20,2.4,2.3,3.75,1.9,3.6,3.3,1.29,3.25,2.38,1.53,5.5,1.13,1.01,15.0,1.2,4.5,1.57,2.25,2.63,1.47,5.0,1.17,1.53,2.38,1.25,1.22,1.8
MkkJaZvq,2025-12-12,08:30,TURKEY 2,Round 17,Adana Demirspor,Boluspor,29.0,5.0,1.18,41.0,17.0,1.03,1.08,6.5,1.5,2.5,2.63,1.44,1.01,40.0,1.01,15.0,1.18,4.5,1.4,2.88,1.87,1.9,2.63,1.44,10.0,1.01,1.01
p4OczZKF,2025-12-12,08:30,BANGLADESH 1,Round 6,Bashundara Kings,Mohammedan,2.2,2.3,4.5,1.67,3.6,4.4,1.3,3.2,2.63,1.44,6.0,1.1,1.03,12.0,1.22,4.2,1.73,2.0,2.88,1.4,6.0,1.13,1.73,2.05,1.14,1.22,2.0
QotAx91b,2025-12-12,09:00,KENYA 1,Round 13,Bidco United,Mathare Utd.,3.1,1.8,4.2,2.2,2.75,3.3,1.6,2.2,4.5,1.17,13.0,1.01,1.11,5.5,1.65,2.1,3.2,1.3,7.0,1.07,13.0,1.01,2.4,1.5,1.25,1.4,1.57
O2wIHb7k,2025-12-12,09:00,THAILAND 1,Round 15,Chonburi,Kanchanaburi,2.52,2.18,3.95,1.93,3.6,3.55,1.3,3.2,2.63,1.44,6.0,1.1,1.03,12.0,1.22,4.1,1.73,2.0,2.88,1.4,6.0,1.13,1.62,2.2,1.22,1.25,1.8
