Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
zTJKnYGO,ARGENTINA 1,APERTURA ,2025-01-27,00:00,Central Cordoba,Aldosivi,2.6,1.95,5.5,1.57,2.25,3.75,1.25,13.0,1.04,1.85,3.2,5.0,1.11,6.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,1.17,1.36,1.91,6.0,9.5,23.0,51.0,5.0,6.5,17.0,51.0,7.0,9.5,21.0,51.0,15.0,19.0,41.0,81.0,101.0,0,0,1,0,[74],[],0.86,0.81
pEDNgIn9,VENEZUELA 1,APERTURA ,2025-01-27,00:00,Portuguesa,Yaracuyanos,2.92,1.9,4.0,1.5,2.25,0.0,0.0,0.0,0.0,2.25,2.82,3.45,0.0,0.0,1.47,2.35,2.32,1.47,3.95,1.17,0.0,0.0,1.93,1.7,1.27,1.36,1.62,6.4,8.25,17.5,50.0,5.9,5.6,12.0,37.0,9.75,9.25,16.5,50.0,23.0,22.0,40.0,100.0,700.0,0,0,1,0,[80],[],1.43,0.88
hxCObGxK,COLOMBIA 1,APERTURA ,2025-01-27,00:20,Alianza,Ind. Medellin,4.33,2.0,3.0,1.53,2.38,3.5,1.29,11.0,1.05,3.5,3.1,2.2,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.73,1.67,1.36,1.29,7.0,6.5,9.5,21.0,9.0,6.0,9.5,21.0,17.0,13.0,17.0,34.0,41.0,34.0,41.0,67.0,351.0,0,0,1,1,[64],[55],1.20,0.70
trjOwspp,ENGLAND U21,-,2025-01-27,09:00,Crystal Palace U21,Norwich U21,1.78,3.0,4.5,0.0,0.0,1.6,2.05,0.0,0.0,1.44,5.1,5.1,0.0,0.0,0.0,0.0,1.24,3.3,1.57,2.1,2.25,1.5,1.36,2.65,1.14,1.15,2.72,35.0,32.0,50.0,100.0,17.0,13.0,18.5,40.0,12.5,9.75,14.0,29.0,13.5,10.5,15.0,32.0,120.0,2,0,2,2,"[34, 37]","[64, 68]",0,0
jy4fZgCC,EGYPT 2,ROUND 19,2025-01-27,09:30,Arab Contractors,Tersana,2.7,1.85,4.55,1.47,2.22,0.0,0.0,0.0,0.0,2.1,2.6,4.05,0.0,0.0,1.47,2.35,2.27,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,1.7,6.0,7.8,18.0,55.0,5.1,4.6,11.0,35.0,7.9,7.2,11.75,37.0,16.5,15.5,25.0,60.0,450.0,1,0,2,1,"[6, 82]",[79],0,0
I7uXVK5K,EGYPT 2,ROUND 19,2025-01-27,09:30,Baladiyat El Mahalla,Al Qanah,3.4,1.72,3.9,1.57,2.02,0.0,0.0,0.0,0.0,2.7,2.37,3.15,0.0,0.0,1.6,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.45,1.42,4.85,5.7,12.0,35.0,5.1,4.35,9.5,28.0,10.0,8.75,13.0,40.0,27.0,23.0,35.0,75.0,0.0,1,0,1,0,[39],[],0,0
6LeJVVck,SAUDI ARABIA 2,ROUND 19,2025-01-27,09:45,Al Hazem,Al Batin,1.78,2.45,6.7,0.0,0.0,2.29,1.57,0.0,0.0,1.34,4.65,7.8,0.0,0.0,1.19,4.2,1.61,2.18,2.5,1.47,3.7,1.19,1.85,1.75,1.08,1.16,3.15,14.0,23.0,60.0,200.0,7.5,9.5,24.0,90.0,6.7,8.25,19.5,70.0,8.5,10.75,25.0,80.0,600.0,1,1,3,1,"[45, 50, 61]",[32],0,0
2mkST9S1,SAUDI ARABIA 2,ROUND 19,2025-01-27,10:00,Al Ain,Al Safa,2.6,2.0,4.25,1.55,2.33,0.0,0.0,0.0,0.0,2.0,3.05,3.85,0.0,0.0,1.41,2.7,2.25,1.57,4.1,1.2,0.0,0.0,1.88,1.72,1.23,1.32,1.78,7.4,9.5,20.0,60.0,6.0,6.0,13.0,40.0,8.75,8.75,16.0,50.0,18.0,18.0,35.0,90.0,800.0,1,2,3,2,"[45, 46, 50]","[23, 26]",0,0
h00cyCEj,EGYPT 1,ROUND 10,2025-01-27,11:00,Zamalek,El Gouna,1.88,2.2,7.8,1.42,2.67,2.72,1.4,6.0,1.1,1.39,4.0,9.0,1.07,6.7,1.35,2.95,2.05,1.7,3.45,1.26,6.1,1.09,2.32,1.53,1.08,1.21,2.95,6.7,18.5,60.0,300.0,5.1,8.25,28.0,120.0,5.5,8.75,25.0,120.0,8.5,13.5,40.0,150.0,900.0,1,1,4,1,"[7, 64, 73, 90]",[37],1.67,0.74
MXRXCH5k,SAUDI ARABIA 1,ROUND 17,2025-01-27,11:05,Damac,Al Ittihad,5.0,2.38,2.05,1.3,3.4,2.38,1.53,5.5,1.13,5.0,4.5,1.55,1.03,10.5,1.17,4.5,1.57,2.35,2.38,1.53,4.33,1.2,1.73,2.0,2.38,1.17,1.14,15.0,8.5,8.5,11.0,17.0,9.0,8.5,12.0,29.0,17.0,17.0,23.0,51.0,41.0,41.0,51.0,151.0,1,1,2,1,"[17, 90]",[45],0.41,1.35
