Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
xzLWyNEO,2025-12-09,04:00,Europe - UEFA Youth League,League phase,Kairat Almaty U19,Olympiacos Piraeus U19,5.0,2.63,1.91,5.0,4.4,1.44,1.2,4.0,2.0,1.73,4.5,1.17,0.0,0.0,1.08,6.5,1.36,2.88,2.1,1.65,3.3,1.29,1.5,2.4,2.5,1.17,1.13
G4nfnOgT,2025-12-09,06:30,Ukraine - Persha Liga,Round 16,FC Chernihiv,Probiy Horodenka,2.88,2.1,3.5,2.3,3.1,2.88,1.36,2.88,3.0,1.33,8.0,1.05,1.03,9.0,1.29,3.3,2.0,1.73,3.6,1.25,7.5,1.06,1.75,1.95,1.36,1.3,1.57
YeJnqxYg,2025-12-09,07:00,ASIA AFC CHAMPIONS LEAGUE,League phase,Vissel Kobe (Jpn),Chengdu Rongcheng (Chn),1.8,2.5,6.5,1.33,4.6,7.5,1.29,3.25,2.5,1.5,5.5,1.13,1.01,15.0,1.2,4.5,1.65,2.2,2.7,1.44,5.0,1.17,2.0,1.73,1.06,1.14,3.0
29WWBR7c,2025-12-09,07:00,ASIA AFC CHAMPIONS LEAGUE,League phase,Machida (Jpn),Ulsan HD (Kor),2.0,2.38,5.0,1.5,4.0,5.5,1.29,3.25,2.5,1.5,6.0,1.11,1.02,13.0,1.2,4.33,1.73,2.1,2.88,1.4,5.5,1.14,1.73,2.0,1.11,1.17,2.38
YVZeAEWh,2025-12-09,09:15,ASIA AFC CHAMPIONS LEAGUE,League phase,Johor DT (Mys),Shanghai Port (Chn),1.5,3.0,8.5,1.15,6.5,12.0,1.17,4.5,2.0,1.73,4.5,1.17,1.01,17.0,1.1,6.5,1.4,2.88,2.05,1.75,3.4,1.3,1.91,1.8,1.03,1.07,4.5
tbOqfsPc,2025-12-09,09:15,ASIA AFC CHAMPIONS LEAGUE,League phase,Buriram (Tha),Gangwon (Kor),2.5,2.2,3.75,1.95,3.3,3.5,1.33,3.0,2.75,1.4,6.5,1.08,1.04,11.0,1.25,3.8,1.87,1.9,3.25,1.33,6.5,1.1,1.67,2.1,1.22,1.25,1.73
G0jsdQat,2025-12-09,09:30,Europe - UEFA Youth League,League phase,Bayern U19,Sporting CP U19,3.5,2.3,2.6,3.1,3.6,1.95,1.25,3.6,2.25,1.57,5.5,1.11,1.01,13.0,1.14,4.8,1.57,2.25,2.55,1.45,4.5,1.17,1.5,2.4,1.73,1.25,1.3
KdHuVcsT,2025-12-09,09:45,IRAN 1,Round 13,Zob Ahan,Tractor,5.0,1.83,2.6,4.33,2.8,1.9,1.6,2.2,3.25,1.2,8.6,1.02,1.11,5.0,1.55,2.28,2.71,1.4,4.5,1.11,7.2,1.02,2.4,1.5,1.66,1.33,1.17
vsbCPy5j,2025-12-09,09:45,IRAN 1,Round 13,Shams Azar Qazvin,Gol Gohar,4.5,1.72,3.15,3.5,2.75,2.27,1.72,1.88,3.85,1.13,11.0,1.01,1.17,3.95,1.75,1.85,3.1,1.27,5.8,1.06,7.8,1.01,2.55,1.4,1.6,1.38,1.26
ptrbhra5,2025-12-09,10:00,Europe - UEFA Youth League,League phase,Atalanta U19,Chelsea U19,3.75,2.7,2.1,3.9,4.2,1.65,1.14,4.8,1.85,1.85,3.8,1.2,0.0,0.0,1.06,7.5,1.29,3.3,1.75,1.95,2.88,1.36,1.3,3.2,2.2,1.17,1.2
