Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
tpR8IzTH,2025-12-10,03:00,AUSTRALIA 1 WOM,Round 5,Canberra W,Sydney W,3.0,2.1,3.3,2.38,3.25,2.63,1.36,2.88,2.88,1.36,7.5,1.05,1.03,9.0,1.29,3.3,2.0,1.73,3.6,1.25,7.5,1.06,1.75,1.95,1.4,1.3,1.5
KS9iPMPN,2025-12-10,07:00,ASIA AFC CHAMPIONS LEAGUE,League phase,Seoul (Kor),Melbourne City (Aus),2.3,2.3,4.33,1.73,3.7,4.2,1.3,3.2,2.63,1.44,6.0,1.11,1.02,13.0,1.2,4.33,1.73,2.1,2.88,1.4,5.5,1.14,1.67,2.1,1.17,1.22,2.0
EinMSGmD,2025-12-10,07:00,ASIA AFC CHAMPIONS LEAGUE,League phase,Sanfrecce Hiroshima (Jpn),Shanghai Shenhua (Chn),1.73,2.7,6.5,1.29,5.0,8.0,1.22,3.75,2.2,1.62,4.5,1.17,1.01,17.0,1.14,5.5,1.47,2.63,2.3,1.6,4.1,1.22,1.73,2.0,1.05,1.13,3.2
U1aTmp13,2025-12-10,07:00,ANDORRA 1,Round 4,UE Santa Coloma,FC Rangers,3.4,2.17,2.8,2.85,3.2,2.28,1.33,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.29,3.2,1.95,1.75,3.35,1.27,6.25,1.08,1.6,2.15,1.5,1.28,1.32
j1qnxFld,2025-12-10,10:45,IRAN 1,Round 13,Mes Rafsanjan,Foolad,3.5,1.78,3.5,2.8,2.66,2.66,1.6,2.2,3.65,1.13,11.0,1.01,1.14,4.2,1.6,2.2,3.1,1.26,5.6,1.06,7.8,1.01,2.54,1.45,1.37,1.36,1.35
xS2ynOVF,2025-12-10,11:00,ANDORRA 1,Round 4,Atletic Escaldes,Esperanca,1.5,2.95,9.0,1.16,6.0,13.0,0.0,0.0,2.05,1.6,0.0,0.0,0.0,0.0,1.14,4.8,1.49,2.43,2.23,1.56,3.85,1.21,2.23,1.5,1.03,1.07,3.33
tYSgH78r,2025-12-10,11:30,SPAIN 3,Group 2,Marbella,Atl. Madrid B,3.2,1.94,3.1,2.57,3.0,2.45,1.45,2.4,2.9,1.26,7.2,1.04,1.07,6.6,1.38,2.55,2.2,1.55,3.75,1.17,6.2,1.04,1.83,1.83,1.4,1.3,1.38
fBV23Ha3,2025-12-10,12:00,NIGERIA 1,Round 14,Plateau United,Rivers United,1.97,3.15,3.3,1.97,3.15,3.3,0.0,0.0,1.23,3.2,1.82,1.75,0.0,0.0,1.23,3.2,1.82,1.75,3.0,1.26,0.0,0.0,1.67,1.96,1.22,1.24,1.63
SjA9JFuB,2025-12-10,14:00,SWITZERLAND 2,Round 14,Lausanne Ouchy,Xamax,2.25,2.4,4.0,1.75,3.75,3.8,1.22,3.8,2.25,1.57,5.2,1.13,1.01,13.0,1.13,5.2,1.5,2.4,2.25,1.57,4.0,1.2,1.5,2.4,1.22,1.22,1.91
SnUmYhVP,2025-12-10,14:00,World - FIFA Intercontinental Cup,Quarter-finals,Cruz Azul,Flamengo RJ,6.1,2.25,2.07,6.4,4.0,1.55,1.4,2.87,2.77,1.44,6.4,1.11,1.07,8.5,1.35,3.25,2.02,1.8,3.55,1.3,6.6,1.11,2.07,1.7,2.5,1.24,1.14
zc1rUM4t,2025-12-10,14:45,EUROPA CHAMPIONS LEAGUE WOM,League phase,Valerenga W,Paris FC W,3.0,2.3,3.0,2.45,3.4,2.4,1.3,3.4,2.38,1.53,5.0,1.14,1.03,10.0,1.2,4.33,1.67,2.15,2.63,1.44,4.5,1.17,1.57,2.25,1.44,1.25,1.44
fqDpg03S,2025-12-10,14:45,EUROPA CHAMPIONS LEAGUE WOM,League phase,Barcelona W,SL Benfica W,1.09,8.0,29.0,1.02,17.0,51.0,1.04,9.0,1.25,3.75,1.8,1.91,0.0,0.0,1.01,15.0,1.05,8.5,1.14,5.0,1.36,3.0,2.38,1.53,1.01,1.01,21.0
boscVy9L,2025-12-10,14:45,EUROPA CHAMPIONS LEAGUE,League phase,Qarabag,Ajax,2.4,2.4,4.0,1.9,3.9,3.7,1.29,3.5,2.38,1.53,5.5,1.14,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.57,2.25,1.29,1.22,1.91
29bRZdaE,2025-12-10,14:45,EUROPA CHAMPIONS LEAGUE,League phase,Villarreal,FC Copenhagen,1.83,2.6,6.5,1.42,4.5,8.0,1.29,3.5,2.25,1.57,5.5,1.14,1.03,15.0,1.17,5.0,1.62,2.3,2.5,1.53,4.33,1.22,1.75,2.0,1.08,1.18,2.75
2otKodr2,2025-12-10,16:00,BOLIVIA 1,Round 29,Blooming,Aurora,2.2,2.75,4.0,1.66,4.33,3.8,1.17,5.0,1.83,1.83,3.75,1.25,1.01,29.0,1.08,8.0,1.3,3.5,1.73,2.0,2.63,1.44,1.33,3.25,1.25,1.2,2.1
